baseline_type,player_id,metric,actual,baseline,residual,z_score
Population,32fed4b3-d7fc-482d-ba21-c46c58f015b5,max_heart_rate,207.0,89.9902077963189,117.0097922036811,14.626224025460138
Population,74afe68c-f348-414c-9754-6d6f9df12587,max_heart_rate,206.0,90.63641975308641,115.36358024691359,14.420447530864198
Population,eb2083e6-ce16-4dba-0ff1-8e0242af9fc3,total_distance,1539.922537,5686.6308394108455,-4146.708302410845,-13.82236100803615
Population,74afe68c-f348-414c-9754-6d6f9df12587,max_heart_rate,201.0,91.69594356261024,109.30405643738976,13.66300705467372
Population,a3f2c9bf-9c63-16b9-50f2-44556f25e2a2,max_heart_rate,82.0,187.1537854030501,-105.15378540305011,-13.144223175381264
Bayesian,e920ae60-5c4b-4597-be27-fc6876dcec33,max_heart_rate,199.0,93.94381100920982,105.05618899079018,13.132023623848772
Bayesian,5a3be598-2f51-426f-95a5-b63d1d7c1b43,max_heart_rate,209.0,104.49037520298616,104.50962479701384,13.06370309962673
Bayesian,5a3be598-2f51-426f-95a5-b63d1d7c1b43,max_heart_rate,209.0,104.49037520298616,104.50962479701384,13.06370309962673
Bayesian,5a3be598-2f51-426f-95a5-b63d1d7c1b43,max_heart_rate,209.0,104.49037520298616,104.50962479701384,13.06370309962673
Bayesian,5a3be598-2f51-426f-95a5-b63d1d7c1b43,max_heart_rate,208.0,104.49037520298616,103.50962479701384,12.93870309962673
Bayesian,b58af410-da77-479e-b93c-e03617b9f36d,avg_heart_rate,161.3534830935612,97.06976503894064,64.28371805462056,12.856743610924113
Bayesian,b58af410-da77-479e-b93c-e03617b9f36d,avg_heart_rate,161.23851955250478,97.06976503894064,64.16875451356414,12.833750902712827
External vs Internal,b58af410-da77-479e-b93c-e03617b9f36d,hr_residual,63.992874714911636,0.0,63.992874714911636,12.798574942982327
Bayesian,5a3be598-2f51-426f-95a5-b63d1d7c1b43,avg_heart_rate,158.375043021985,94.43408945359981,63.94095356838518,12.788190713677036
EWMA,c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,high_speed_distance,4838.697623,83.93052033540903,4754.767102664591,12.73207980450397
Population,c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,max_heart_rate,191.0,89.3552362863474,101.6447637136526,12.705595464206574
Population,32fed4b3-d7fc-482d-ba21-c46c58f015b5,max_heart_rate,191.0,89.3552362863474,101.6447637136526,12.705595464206574
Bayesian,5a3be598-2f51-426f-95a5-b63d1d7c1b43,max_heart_rate,206.0,104.49037520298616,101.50962479701384,12.68870309962673
Bayesian,c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,high_speed_distance,4838.697623,101.55162394451075,4737.1459990554895,12.684894886178784
Bayesian,e920ae60-5c4b-4597-be27-fc6876dcec33,max_heart_rate,195.0,93.94381100920982,101.05618899079018,12.632023623848772
Population,c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,max_heart_rate,190.0,89.05527698638811,100.94472301361189,12.618090376701486
Bayesian,5a3be598-2f51-426f-95a5-b63d1d7c1b43,max_heart_rate,205.0,104.49037520298616,100.50962479701384,12.56370309962673
Bayesian,5a3be598-2f51-426f-95a5-b63d1d7c1b43,max_heart_rate,205.0,104.49037520298616,100.50962479701384,12.56370309962673
Bayesian,5a3be598-2f51-426f-95a5-b63d1d7c1b43,max_heart_rate,205.0,104.49037520298616,100.50962479701384,12.56370309962673
Population,32fed4b3-d7fc-482d-ba21-c46c58f015b5,max_heart_rate,189.0,89.05527698638811,99.94472301361189,12.493090376701486
Bayesian,5a3be598-2f51-426f-95a5-b63d1d7c1b43,max_heart_rate,204.0,104.49037520298616,99.50962479701384,12.43870309962673
Population,c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,high_speed_distance,4838.697623,199.82793973267195,4638.869683267328,12.421735436201455
Population,c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,max_heart_rate,189.0,89.94370732148509,99.05629267851491,12.382036584814363
EWMA,5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,high_speed_distance,4638.73934,80.02299017904551,4558.716349820955,12.38153121879554
Population,c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,max_heart_rate,189.0,90.35364146410039,98.64635853589961,12.330794816987451
Bayesian,5a3be598-2f51-426f-95a5-b63d1d7c1b43,max_heart_rate,203.0,104.49037520298616,98.50962479701384,12.31370309962673
Bayesian,5a3be598-2f51-426f-95a5-b63d1d7c1b43,max_heart_rate,203.0,104.49037520298616,98.50962479701384,12.31370309962673
Bayesian,5a3be598-2f51-426f-95a5-b63d1d7c1b43,max_heart_rate,203.0,104.49037520298616,98.50962479701384,12.31370309962673
Bayesian,affd6f1d-b364-4700-98bf-8f20896e5ac4,max_heart_rate,186.0,87.5139495932198,98.4860504067802,12.310756300847524
Population,32fed4b3-d7fc-482d-ba21-c46c58f015b5,max_heart_rate,190.0,91.53359443294227,98.46640556705773,12.308300695882217
Bayesian,5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,high_speed_distance,4638.73934,110.95897870500889,4527.780361294991,12.297508682992548
Population,32fed4b3-d7fc-482d-ba21-c46c58f015b5,max_heart_rate,188.0,89.94370732148509,98.05629267851491,12.257036584814363
External vs Internal,b58af410-da77-479e-b93c-e03617b9f36d,hr_residual,61.27100222922151,0.0,61.27100222922151,12.254200445844301
Population,c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,max_heart_rate,188.0,89.9902077963189,98.0097922036811,12.251224025460138
External vs Internal,5a3be598-2f51-426f-95a5-b63d1d7c1b43,hr_residual,61.07699011953321,0.0,61.07699011953321,12.21539802390664
Population,c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,max_heart_rate,188.0,90.28027404694072,97.71972595305928,12.21496574413241
Population,5cd7a61b-88b2-46d2-94f8-5a0d4f682d93,high_speed_distance,4638.73934,142.8194890002004,4495.9198509998,12.210975134380302
Bayesian,b58af410-da77-479e-b93c-e03617b9f36d,max_heart_rate,206.0,108.44879036503836,97.55120963496164,12.193901204370205
Bayesian,5a3be598-2f51-426f-95a5-b63d1d7c1b43,max_heart_rate,202.0,104.49037520298616,97.50962479701384,12.18870309962673
Population,74afe68c-f348-414c-9754-6d6f9df12587,max_heart_rate,199.0,102.29629629629629,96.70370370370371,12.087962962962964
Population,eb2083e6-ce16-4dba-0ff1-8e0242af9fc3,max_heart_rate,82.0,178.1185185185185,-96.1185185185185,-12.014814814814812
